Name,Id,Latitude,Longitude,Year,Spec,Type,Status,Condition,Auto_id
PL-1 (A07),141670,51.388972,94.576839,2018,Falco cherrug,platf-tree,Occup,worth,214
PL2020-1,176121,51.625431,94.704037,2020,Falco cherrug,platf-tree,Occup,worth,215
PL2020-10,176207,51.380638,94.951225,2020, ,platf-tree,Empty,worth,216
PL2020-11,176208,51.37482,94.913468,2020, ,platf-tree,Empty,worth,217
PL2020-12,176209,51.372502,94.889182,2020,Buteo hemilasius,platf-tree,Occup,worth,218
PL2020-13,176211,51.269764,94.49925,2020,?,platf-tree,?,?,219
PL2020-14,176212,51.264479,94.474151,2020,?,platf-tree,?,?,220
PL2020-2,176130,51.596806,94.661987,2020, ,platf-tree,Empty,worth,221
PL2020-3,176140,51.558362,94.700538,2020,Buteo hemilasius,platf-tree,Occup,worth,222
PL2020-4,176146,51.297656,94.393392,2020,Milvus migrans ,platf-tree,Occup,worth,223
PL2020-5BH,176153,51.278653,94.475684,2020,Milvus migrans ,platf-tree,Occup,worth,224
PL2020-6,176201,51.406558,94.917567,2020,Buteo hemilasius,platf-tree,Occup,worth,225
PL2020-7,176203,51.396233,94.952421,2020,Milvus migrans ,platf-tree,Occup,worth,226
PL2020-8,176205,51.386748,94.968291,2020, ,platf-tree,Empty,worth,227
PL2020-9,194982,51.369297,94.961822,2020,Milvus migrans ,platf-tree,Occup,worth,228
PL-3,141700,51.516064,94.693821,2018,Buteo hemilasius,platf-tree,Occup,worth,229
PLAN2020-1,176155,51.28362,94.50766,2020,Aquila nipalensis,platf-tree,Occup,worth,230
PLAN2020-2,176210,51.27896,94.51175,2020, ,platf-tree,Empty,worth,231
PLAN2020-3,176161,51.170045,94.624958,2020, ,platf-tree,Empty,worth,232
PL-STOL,141691,51.498341,94.681656,2018, ,platf-tree,Empty,worth,233
PSM2019-1,169439,51.1787,94.8589,2019,Strix uralensis,box,Occup,worth,234
PSM2019-10,169435,51.2133,94.5541,2019,Falco tinnunculus,box,Occup,worth,235
PSM2019-11,169436,51.203933,94.586914,2019,Falco cherrug,box,Occup,worth,236
PSM2019-12,169431,51.481968,94.450959,2019,Falco cherrug,box,Occup,worth,237
PSM2019-13,169434,51.290472,94.656469,2019,Buteo hemilasius,box,Occup,worth,238
PSM2019-14,169578,51.272878,94.710127,2019, ,box,Empty,worth,239
PSM2019-15,169438,51.1993,94.747,2019,Strix uralensis,box,Occup,worth,240
PSM2019-17,169437,51.2098,94.696,2019,Falco cherrug,box,Occup,worth,241
PSM2019-2,169440,51.1582,94.9172,2019,Falco cherrug,box,Occup,worth,242
PSM2019-21,169430,51.5083,94.375344,2019,Falco tinnunculus,box,Occup,worth,243
PSM2019-22,202069,51.46046,94.42451,2018,Falco tinnunculus,box,Occup,worth,244
PSM2019-23,169579,51.310221,94.718227,2019,Falco tinnunculus,box,Occup,worth,245
PSM2019-3,169441,51.144,94.9703,2019,?,box,?,?,246
PSM2019-4,169442,51.1592,95.0036,2019,Falco tinnunculus,box,Occup,worth,247
PSM2019-5,169443,51.1773,94.9959,2019,Strix uralensis,box,Occup,worth,248
PSM2019-6,169433,51.3244,94.4357,2019,Falco cherrug,box,Occup,worth,249
PSM2019-6B,198275,51.32597,94.43514,2021,Falco cherrug,box,Occup,worth,250
SUHDER BH-RT123-1(BH-A37),141656,51.523891,94.593235,2018,Falco cherrug,platf-tree,Occup,worth,251
T2018-10 BH66,141672,51.38444,94.58648,2018,Falco cherrug,platf-tree,Occup,worth,252
T2018-11,141675,51.531633,94.63577,2018,Milvus migrans ,platf-tree,Occup,worth,253
T2018-12-MM-X1,141676,51.535878,94.647032,2018,Buteo hemilasius,platf-tree,Occup,worth,254
T2018-13-BK1C,141681,51.520249,94.651496,2018,Milvus migrans ,platf-tree,Occup,worth,255
T2018-14-BK1B,141683,51.5174,94.6479,2018,Buteo hemilasius,platf-tree,Occup,worth,256
T2018-15,141688,51.513071,94.659752,2018,Buteo hemilasius,platf-tree,Occup,worth,257
T2018-16,141689,51.517855,94.678146,2018,Buteo hemilasius,platf-tree,Occup,worth,258
T2018-17,141690,51.51086,94.686287,2018,Buteo hemilasius,platf-tree,Occup,worth,259
T2018-18-BH-X2,141694,51.50297,94.68826,2018,Falco cherrug,platf-tree,Occup,worth,260
T2018-19-BH-AL12,141696,51.49288,94.68002,2018,Buteo hemilasius,platf-tree,Occup,worth,261
